,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (enrolled),Tuition fees up to date,Scholarship holder,Target
0,0,0.0,0,1,0,0
1,6,13.666666666666666,6,0,0,2
2,0,0.0,6,0,0,0
3,5,12.4,6,1,0,2
4,6,13.0,6,1,0,2
5,5,11.5,5,1,0,2
6,8,14.345,8,1,1,2
7,0,0.0,5,0,0,0
8,6,14.142857142857142,6,1,1,2
9,2,13.5,6,0,0,0
10,5,14.2,6,1,0,2
11,7,13.214285714285714,8,1,1,2
12,0,0.0,6,1,0,0
13,5,11.0,6,1,1,2
14,5,12.0,5,1,1,2
15,0,0.0,6,1,0,0
16,2,11.0,6,1,0,1
17,8,14.545,8,1,0,2
18,4,12.25,5,1,0,2
19,6,13.5,7,1,0,1
20,0,0.0,0,1,1,2
21,8,11.425,8,1,0,1
22,7,12.857142857142858,8,1,0,2
23,6,12.285714285714286,6,1,1,2
24,7,14.114285714285714,8,1,0,2
25,4,11.0,6,1,1,1
26,6,13.285714285714286,6,1,0,2
27,4,13.0,5,1,0,1
28,5,12.333333333333334,5,1,0,2
29,6,13.716666666666669,7,1,0,1
30,5,10.571428571428571,6,1,0,1
31,4,13.4,6,1,0,2
32,2,13.5,5,0,0,1
33,6,14.375,6,1,0,2
34,5,13.428571428571429,5,1,0,2
35,1,10.0,7,0,0,0
36,0,0.0,5,1,0,0
37,2,12.0,5,1,0,0
38,5,11.6,5,1,0,2
39,3,12.0,6,0,0,0
40,0,0.0,5,1,0,0
41,5,15.8,5,1,0,2
42,7,14.342857142857142,8,1,0,2
43,5,13.8,6,0,0,0
44,0,0.0,5,1,0,0
45,3,14.333333333333334,5,1,0,1
46,5,13.2,6,1,0,2
47,7,13.771428571428572,8,1,1,2
48,6,13.285714285714286,6,1,1,2
49,6,12.833333333333334,6,1,1,2
50,6,14.166666666666666,6,1,1,2
51,6,11.833333333333334,8,1,1,1
52,3,11.0,6,1,1,1
53,5,15.8,5,1,0,2
54,5,11.0,5,1,0,0
55,8,13.595,8,1,0,2
56,0,0.0,6,1,0,0
57,10,12.9,11,1,0,0
58,8,14.935,8,1,0,2
59,0,0.0,0,1,0,1
