,Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (enrolled),Tuition fees up to date,Scholarship holder
0,0,0.0,0,1,0
1,6,13.666666666666666,6,0,0
2,0,0.0,6,0,0
3,5,12.4,6,1,0
4,6,13.0,6,1,0
6,8,14.345,8,1,1
7,0,0.0,5,0,0
8,6,14.142857142857142,6,1,1
9,2,13.5,6,0,0
10,5,14.2,6,1,0
11,7,13.214285714285714,8,1,1
12,0,0.0,6,1,0
13,5,11.0,6,1,1
14,5,12.0,5,1,1
15,0,0.0,6,1,0
16,2,11.0,6,1,0
17,8,14.545,8,1,0
18,4,12.25,5,1,0
19,6,13.5,7,1,0
20,0,0.0,0,1,1
21,8,11.425,8,1,0
22,7,12.857142857142858,8,1,0
23,6,12.285714285714286,6,1,1
24,7,14.114285714285714,8,1,0
25,4,11.0,6,1,1
26,6,13.285714285714286,6,1,0
27,4,13.0,5,1,0
28,5,12.333333333333334,5,1,0
29,6,13.716666666666669,7,1,0
30,5,10.571428571428571,6,1,0
32,2,13.5,5,0,0
33,6,14.375,6,1,0
34,5,13.428571428571429,5,1,0
35,1,10.0,7,0,0
36,0,0.0,5,1,0
37,2,12.0,5,1,0
38,5,11.6,5,1,0
39,3,12.0,6,0,0
40,0,0.0,5,1,0
41,5,15.8,5,1,0
42,7,14.342857142857142,8,1,0
43,5,13.8,6,0,0
44,0,0.0,5,1,0
45,3,14.333333333333334,5,1,0
46,5,13.2,6,1,0
47,7,13.771428571428572,8,1,1
48,6,13.285714285714286,6,1,1
49,6,12.833333333333334,6,1,1
50,6,14.166666666666666,6,1,1
51,6,11.833333333333334,8,1,1
52,3,11.0,6,1,1
53,5,15.8,5,1,0
54,5,11.0,5,1,0
55,8,13.595,8,1,0
56,0,0.0,6,1,0
57,10,12.9,11,1,0
58,8,14.935,8,1,0
59,0,0.0,0,1,0
60,7,12.221428571428572,8,1,0
61,6,12.0,6,1,1
62,0,0.0,0,1,1
63,1,10.0,6,1,0
64,0,0.0,6,1,0
65,5,11.0,8,1,0
66,0,0.0,0,1,1
67,6,12.428571428571429,6,1,0
68,4,10.75,5,1,0
69,5,10.8,6,1,0
70,0,0.0,5,1,0
71,8,13.75,8,1,0
72,0,0.0,0,1,0
73,1,12.0,6,1,0
74,3,12.333333333333334,6,1,0
75,3,10.857142857142858,5,1,0
76,1,11.0,6,1,1
77,6,13.333333333333334,6,1,1
78,8,15.055555555555555,8,1,1
79,6,11.666666666666666,6,1,0
80,5,12.2,6,1,0
81,0,0.0,5,1,0
82,10,13.3,12,1,0
83,3,11.333333333333334,5,1,0
84,5,11.0,6,1,0
85,7,13.08,8,1,1
86,5,11.6,5,1,1
87,5,11.2,6,1,0
88,5,13.8,5,1,0
89,0,0.0,5,1,0
90,0,0.0,7,1,0
91,6,13.5,6,0,0
92,0,0.0,6,1,0
93,0,0.0,6,1,0
94,6,12.333333333333334,6,1,0
95,3,13.25,5,1,0
96,6,13.333333333333334,6,1,0
97,8,14.47777777777778,8,1,1
98,5,13.8,5,1,0
99,0,0.0,7,0,0
100,5,13.4,9,1,0
101,0,0.0,0,1,0
102,0,0.0,6,1,0
103,13,14.23076923076923,13,1,0
104,0,0.0,6,1,0
105,11,12.272727272727272,11,1,0
106,0,0.0,6,1,0
107,4,13.25,6,1,0
108,5,12.3,7,1,0
109,3,13.0,7,1,0
110,6,15.0,6,1,0
111,3,11.0,5,1,1
112,5,12.8,5,1,0
113,6,12.571428571428571,6,1,0
114,6,12.516666666666666,7,1,0
115,7,13.0,7,1,0
116,4,10.75,6,1,1
117,3,10.666666666666666,5,1,0
118,5,11.4,5,1,0
119,5,14.0,5,1,0
120,2,11.0,6,1,0
121,4,11.25,5,1,0
122,0,0.0,0,1,0
123,5,14.2,5,1,1
124,6,12.2,6,1,0
126,5,13.77777777777778,6,1,0
127,5,13.4,6,1,1
128,6,13.666666666666666,6,1,0
129,8,15.011111111111113,8,1,0
130,7,13.742857142857144,8,1,1
131,6,13.0,6,1,0
132,5,14.6,5,1,0
133,0,0.0,7,1,0
134,7,11.714285714285714,7,1,0
135,4,12.5,6,0,1
136,4,11.5,5,1,0
137,6,14.833333333333334,6,1,1
138,7,12.892857142857142,8,1,1
139,8,17.5875,8,1,0
140,6,12.666666666666666,7,1,0
141,5,12.0,6,1,1
142,0,0.0,5,0,0
143,6,11.5,6,1,1
144,8,12.33125,8,1,1
145,5,10.8,6,1,1
146,0,0.0,5,1,0
147,3,11.666666666666666,6,1,0
148,5,14.166666666666666,5,1,0
149,7,14.178571428571429,8,1,1
150,0,0.0,0,1,0
151,5,13.4,5,1,0
152,5,10.833333333333334,6,1,0
153,5,11.8,6,1,0
154,3,10.0,6,1,0
155,4,11.5,6,1,0
156,5,11.8,5,1,1
157,6,11.857142857142858,6,1,1
158,6,11.833333333333334,6,1,0
159,5,12.6,6,1,1
160,6,13.0,6,1,0
161,7,12.761111111111113,8,1,1
162,8,15.355,8,1,0
163,3,11.0,6,1,0
164,5,14.2,5,1,0
165,6,13.0,6,1,1
166,0,0.0,6,1,0
167,4,11.0,6,1,0
168,7,14.257142857142856,8,1,0
169,2,11.333333333333334,6,1,0
170,4,10.5,5,1,0
171,8,13.5625,8,1,0
172,6,11.683333333333332,7,1,0
173,5,12.0,6,1,0
174,6,13.166666666666666,6,0,0
175,4,13.5,5,1,1
176,5,12.0,6,1,0
177,4,11.95,7,1,0
178,5,10.4,6,1,0
179,6,14.583333333333334,8,1,0
180,19,12.789473684210526,19,1,0
181,6,13.166666666666666,6,1,1
182,0,0.0,6,0,0
183,0,0.0,6,0,0
184,0,0.0,6,1,0
185,3,10.571428571428571,5,0,0
186,4,10.0,6,0,0
187,6,13.05,7,1,1
188,0,0.0,6,1,0
189,6,12.0,6,1,0
190,6,12.5,6,1,1
191,1,10.0,5,1,0
192,0,0.0,5,1,0
193,0,0.0,6,1,0
194,7,12.242857142857144,8,1,0
195,0,0.0,5,1,0
196,8,12.93375,8,1,0
197,0,0.0,5,1,0
198,7,14.428571428571429,7,1,0
200,4,14.333333333333334,5,1,0
201,6,11.333333333333334,6,1,0
202,7,12.324285714285711,8,1,0
203,6,11.714285714285714,6,1,0
